kind,count,minimum,maximum,time,settle,recover,amount,fee,expectedFee
0,0,2,4,1000,0,0,1,1,0
0,0,2,4,1000,0,0,101,10,0
0,0,2,4,1000,0,0,199,5,0
0,0,2,4,1099,0,0,1,1,0
0,0,2,4,1099,0,0,101,10,0
0,0,2,4,1099,0,0,199,5,0
0,0,2,4,1100,0,1,1,1,0
0,0,2,4,1100,0,1,101,10,0
0,0,2,4,1100,0,1,199,5,0
0,0,2,4,1109,0,1,1,1,0
0,0,2,4,1109,0,1,101,10,0
0,0,2,4,1109,0,1,199,5,0
0,0,2,4,1110,0,1,1,1,0
0,0,2,4,1110,0,1,101,10,0
0,0,2,4,1110,0,1,199,5,0
0,0,2,4,1111,0,1,1,1,0
0,0,2,4,1111,0,1,101,10,0
0,0,2,4,1111,0,1,199,5,0
0,1,2,4,1000,0,0,1,1,0
0,1,2,4,1000,0,0,101,10,10
0,1,2,4,1000,0,0,199,5,9
0,1,2,4,1099,0,0,1,1,0
0,1,2,4,1099,0,0,101,10,10
0,1,2,4,1099,0,0,199,5,9
0,1,2,4,1100,0,1,1,1,0
0,1,2,4,1100,0,1,101,10,10
0,1,2,4,1100,0,1,199,5,9
0,1,2,4,1109,0,1,1,1,0
0,1,2,4,1109,0,1,101,10,10
0,1,2,4,1109,0,1,199,5,9
0,1,2,4,1110,0,1,1,1,0
0,1,2,4,1110,0,1,101,10,10
0,1,2,4,1110,0,1,199,5,9
0,1,2,4,1111,0,1,1,1,0
0,1,2,4,1111,0,1,101,10,10
0,1,2,4,1111,0,1,199,5,9
0,2,2,4,1000,0,0,1,1,0
0,2,2,4,1000,0,0,101,10,20
0,2,2,4,1000,0,0,199,5,19
0,2,2,4,1099,0,0,1,1,0
0,2,2,4,1099,0,0,101,10,20
0,2,2,4,1099,0,0,199,5,19
0,2,2,4,1100,1,0,1,1,0
0,2,2,4,1100,1,0,101,10,20
0,2,2,4,1100,1,0,199,5,19
0,2,2,4,1109,1,0,1,1,0
0,2,2,4,1109,1,0,101,10,20
0,2,2,4,1109,1,0,199,5,19
0,2,2,4,1110,0,1,1,1,0
0,2,2,4,1110,0,1,101,10,20
0,2,2,4,1110,0,1,199,5,19
0,2,2,4,1111,0,1,1,1,0
0,2,2,4,1111,0,1,101,10,20
0,2,2,4,1111,0,1,199,5,19
0,3,2,4,1000,0,0,1,1,0
0,3,2,4,1000,0,0,101,10,30
0,3,2,4,1000,0,0,199,5,29
0,3,2,4,1099,0,0,1,1,0
0,3,2,4,1099,0,0,101,10,30
0,3,2,4,1099,0,0,199,5,29
0,3,2,4,1100,1,0,1,1,0
0,3,2,4,1100,1,0,101,10,30
0,3,2,4,1100,1,0,199,5,29
0,3,2,4,1109,1,0,1,1,0
0,3,2,4,1109,1,0,101,10,30
0,3,2,4,1109,1,0,199,5,29
0,3,2,4,1110,0,1,1,1,0
0,3,2,4,1110,0,1,101,10,30
0,3,2,4,1110,0,1,199,5,29
0,3,2,4,1111,0,1,1,1,0
0,3,2,4,1111,0,1,101,10,30
0,3,2,4,1111,0,1,199,5,29
0,4,2,4,1000,1,0,1,1,0
0,4,2,4,1000,1,0,101,10,40
0,4,2,4,1000,1,0,199,5,39
0,4,2,4,1099,1,0,1,1,0
0,4,2,4,1099,1,0,101,10,40
0,4,2,4,1099,1,0,199,5,39
0,4,2,4,1100,1,0,1,1,0
0,4,2,4,1100,1,0,101,10,40
0,4,2,4,1100,1,0,199,5,39
0,4,2,4,1109,1,0,1,1,0
0,4,2,4,1109,1,0,101,10,40
0,4,2,4,1109,1,0,199,5,39
0,4,2,4,1110,0,1,1,1,0
0,4,2,4,1110,0,1,101,10,40
0,4,2,4,1110,0,1,199,5,39
0,4,2,4,1111,0,1,1,1,0
0,4,2,4,1111,0,1,101,10,40
0,4,2,4,1111,0,1,199,5,39
1,0,1,4,1000,0,0,1,1,0
1,0,1,4,1000,0,0,101,10,10
1,0,1,4,1000,0,0,199,5,9
1,0,1,4,1099,0,0,1,1,0
1,0,1,4,1099,0,0,101,10,10
1,0,1,4,1099,0,0,199,5,9
1,0,1,4,1100,0,1,1,1,0
1,0,1,4,1100,0,1,101,10,10
1,0,1,4,1100,0,1,199,5,9
1,0,1,4,1109,0,1,1,1,0
1,0,1,4,1109,0,1,101,10,10
1,0,1,4,1109,0,1,199,5,9
1,0,1,4,1110,0,1,1,1,0
1,0,1,4,1110,0,1,101,10,10
1,0,1,4,1110,0,1,199,5,9
1,0,1,4,1111,0,1,1,1,0
1,0,1,4,1111,0,1,101,10,10
1,0,1,4,1111,0,1,199,5,9
1,1,1,4,1000,0,0,1,1,0
1,1,1,4,1000,0,0,101,10,10
1,1,1,4,1000,0,0,199,5,9
1,1,1,4,1099,0,0,1,1,0
1,1,1,4,1099,0,0,101,10,10
1,1,1,4,1099,0,0,199,5,9
1,1,1,4,1100,1,0,1,1,0
1,1,1,4,1100,1,0,101,10,10
1,1,1,4,1100,1,0,199,5,9
1,1,1,4,1109,1,0,1,1,0
1,1,1,4,1109,1,0,101,10,10
1,1,1,4,1109,1,0,199,5,9
1,1,1,4,1110,0,1,1,1,0
1,1,1,4,1110,0,1,101,10,10
1,1,1,4,1110,0,1,199,5,9
1,1,1,4,1111,0,1,1,1,0
1,1,1,4,1111,0,1,101,10,10
1,1,1,4,1111,0,1,199,5,9
1,2,1,4,1000,0,0,1,1,0
1,2,1,4,1000,0,0,101,10,10
1,2,1,4,1000,0,0,199,5,9
1,2,1,4,1099,0,0,1,1,0
1,2,1,4,1099,0,0,101,10,10
1,2,1,4,1099,0,0,199,5,9
1,2,1,4,1100,1,0,1,1,0
1,2,1,4,1100,1,0,101,10,10
1,2,1,4,1100,1,0,199,5,9
1,2,1,4,1109,1,0,1,1,0
1,2,1,4,1109,1,0,101,10,10
1,2,1,4,1109,1,0,199,5,9
1,2,1,4,1110,0,1,1,1,0
1,2,1,4,1110,0,1,101,10,10
1,2,1,4,1110,0,1,199,5,9
1,2,1,4,1111,0,1,1,1,0
1,2,1,4,1111,0,1,101,10,10
1,2,1,4,1111,0,1,199,5,9
1,3,1,4,1000,0,0,1,1,0
1,3,1,4,1000,0,0,101,10,10
1,3,1,4,1000,0,0,199,5,9
1,3,1,4,1099,0,0,1,1,0
1,3,1,4,1099,0,0,101,10,10
1,3,1,4,1099,0,0,199,5,9
1,3,1,4,1100,1,0,1,1,0
1,3,1,4,1100,1,0,101,10,10
1,3,1,4,1100,1,0,199,5,9
1,3,1,4,1109,1,0,1,1,0
1,3,1,4,1109,1,0,101,10,10
1,3,1,4,1109,1,0,199,5,9
1,3,1,4,1110,0,1,1,1,0
1,3,1,4,1110,0,1,101,10,10
1,3,1,4,1110,0,1,199,5,9
1,3,1,4,1111,0,1,1,1,0
1,3,1,4,1111,0,1,101,10,10
1,3,1,4,1111,0,1,199,5,9
1,4,1,4,1000,1,0,1,1,0
1,4,1,4,1000,1,0,101,10,10
1,4,1,4,1000,1,0,199,5,9
1,4,1,4,1099,1,0,1,1,0
1,4,1,4,1099,1,0,101,10,10
1,4,1,4,1099,1,0,199,5,9
1,4,1,4,1100,1,0,1,1,0
1,4,1,4,1100,1,0,101,10,10
1,4,1,4,1100,1,0,199,5,9
1,4,1,4,1109,1,0,1,1,0
1,4,1,4,1109,1,0,101,10,10
1,4,1,4,1109,1,0,199,5,9
1,4,1,4,1110,0,1,1,1,0
1,4,1,4,1110,0,1,101,10,10
1,4,1,4,1110,0,1,199,5,9
1,4,1,4,1111,0,1,1,1,0
1,4,1,4,1111,0,1,101,10,10
1,4,1,4,1111,0,1,199,5,9
